# Logfile created on 2025-09-12 21:32:21 +0900 by logger.rb/v1.5.3
2025-09-12 21:32:21 +0900: Memory Usage (498840K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:32:21 +0900: Memory Usage (498840K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : Loading database to memory is complete.
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_topvia2.lyrdb
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : Evaluate switches.
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : table_name selected  topvia2
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : Klayout will use 10 thread(s)
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : flat mode is enabled for topvia2 table.
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : FEOL enabled: true
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : BEOL enabled: true
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : OffGrid enabled: true
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : PreCheck DRC enabled: false
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : CONNECTIVITY_RULES enabled: false for table topvia2
2025-09-12 21:32:22 +0900: Memory Usage (544272K) : Read in polygons from layers.
2025-09-12 21:32:29 +0900: Memory Usage (554144K) : activ_drw has 12386 polygons
2025-09-12 21:32:29 +0900: Memory Usage (554144K) : activ_pin has 0 polygons
2025-09-12 21:32:29 +0900: Memory Usage (554144K) : activ_mask has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : activ_filler has 30752 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : activ_nofill has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : activ_opc has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : activ_iopc has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : activ_noqrc has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : biwind_drw has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : biwind_opc has 0 polygons
2025-09-12 21:32:30 +0900: Memory Usage (554144K) : pemwind_drw has 0 polygons
2025-09-12 21:32:39 +0900: Memory Usage (620956K) : gatpoly_drw has 22203 polygons
2025-09-12 21:32:39 +0900: Memory Usage (620956K) : gatpoly_pin has 0 polygons
2025-09-12 21:32:40 +0900: Memory Usage (620956K) : gatpoly_filler has 30752 polygons
2025-09-12 21:32:40 +0900: Memory Usage (620956K) : gatpoly_nofill has 0 polygons
2025-09-12 21:32:40 +0900: Memory Usage (620956K) : gatpoly_opc has 0 polygons
2025-09-12 21:32:40 +0900: Memory Usage (620956K) : gatpoly_iopc has 0 polygons
2025-09-12 21:32:40 +0900: Memory Usage (620956K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:34:04 +0900: Memory Usage (961196K) : cont_drw has 3031017 polygons
2025-09-12 21:34:04 +0900: Memory Usage (961196K) : cont_opc has 0 polygons
2025-09-12 21:34:04 +0900: Memory Usage (961196K) : nsd_drw has 0 polygons
2025-09-12 21:34:04 +0900: Memory Usage (961196K) : nsd_block has 0 polygons
2025-09-12 21:34:15 +0900: Memory Usage (982700K) : metal1_drw has 18812 polygons
2025-09-12 21:34:15 +0900: Memory Usage (982700K) : metal1_pin has 3000 polygons
2025-09-12 21:34:15 +0900: Memory Usage (982700K) : metal1_mask has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_filler has 58856 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_nofill has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_slit has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_text has 74538 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_opc has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_noqrc has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_res has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_iprobe has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : metal1_diffprb has 0 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : passiv_drw has 39 polygons
2025-09-12 21:34:17 +0900: Memory Usage (982700K) : passiv_pin has 0 polygons
2025-09-12 21:34:18 +0900: Memory Usage (982700K) : passiv_sbump has 0 polygons
2025-09-12 21:34:18 +0900: Memory Usage (982700K) : passiv_pillar has 0 polygons
2025-09-12 21:34:18 +0900: Memory Usage (982700K) : passiv_pdl has 0 polygons
2025-09-12 21:34:20 +0900: Memory Usage (982700K) : metal2_drw has 10652 polygons
2025-09-12 21:34:20 +0900: Memory Usage (982700K) : metal2_pin has 1719 polygons
2025-09-12 21:34:20 +0900: Memory Usage (982700K) : metal2_mask has 0 polygons
2025-09-12 21:34:22 +0900: Memory Usage (982700K) : metal2_filler has 64947 polygons
2025-09-12 21:34:22 +0900: Memory Usage (982700K) : metal2_nofill has 0 polygons
2025-09-12 21:34:22 +0900: Memory Usage (982700K) : metal2_slit has 0 polygons
2025-09-12 21:34:23 +0900: Memory Usage (982700K) : metal2_text has 2418 polygons
2025-09-12 21:34:23 +0900: Memory Usage (982700K) : metal2_opc has 0 polygons
2025-09-12 21:34:23 +0900: Memory Usage (982700K) : metal2_noqrc has 0 polygons
2025-09-12 21:34:23 +0900: Memory Usage (982700K) : metal2_res has 0 polygons
