# Logfile created on 2025-08-28 21:29:09 +0900 by logger.rb/v1.5.3
2025-08-28 21:29:09 +0900: Memory Usage (500508K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:29:09 +0900: Memory Usage (500508K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : Loading database to memory is complete.
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_topmetal2.lyrdb
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : Evaluate switches.
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : table_name selected  topmetal2
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : Klayout will use 10 thread(s)
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : flat mode is enabled for topmetal2 table.
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : FEOL enabled: true
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : BEOL enabled: true
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : OffGrid enabled: true
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : PreCheck DRC enabled: false
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : CONNECTIVITY_RULES enabled: false for table topmetal2
2025-08-28 21:29:10 +0900: Memory Usage (546312K) : Read in polygons from layers.
2025-08-28 21:29:17 +0900: Memory Usage (555556K) : activ_drw has 10081 polygons
2025-08-28 21:29:17 +0900: Memory Usage (555556K) : activ_pin has 0 polygons
2025-08-28 21:29:17 +0900: Memory Usage (555556K) : activ_mask has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : activ_filler has 30337 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : activ_nofill has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : activ_opc has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : activ_iopc has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : activ_noqrc has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : biwind_drw has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : biwind_opc has 0 polygons
2025-08-28 21:29:19 +0900: Memory Usage (555556K) : pemwind_drw has 0 polygons
2025-08-28 21:29:27 +0900: Memory Usage (621892K) : gatpoly_drw has 23583 polygons
2025-08-28 21:29:27 +0900: Memory Usage (621892K) : gatpoly_pin has 0 polygons
2025-08-28 21:29:28 +0900: Memory Usage (621892K) : gatpoly_filler has 30337 polygons
2025-08-28 21:29:28 +0900: Memory Usage (621892K) : gatpoly_nofill has 0 polygons
2025-08-28 21:29:28 +0900: Memory Usage (621892K) : gatpoly_opc has 0 polygons
2025-08-28 21:29:28 +0900: Memory Usage (621892K) : gatpoly_iopc has 0 polygons
2025-08-28 21:29:28 +0900: Memory Usage (621892K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:30:55 +0900: Memory Usage (956316K) : cont_drw has 2901899 polygons
2025-08-28 21:30:55 +0900: Memory Usage (956316K) : cont_opc has 0 polygons
2025-08-28 21:30:55 +0900: Memory Usage (956316K) : nsd_drw has 0 polygons
2025-08-28 21:30:55 +0900: Memory Usage (956316K) : nsd_block has 0 polygons
2025-08-28 21:31:06 +0900: Memory Usage (978588K) : metal1_drw has 16153 polygons
2025-08-28 21:31:07 +0900: Memory Usage (978588K) : metal1_pin has 794 polygons
2025-08-28 21:31:07 +0900: Memory Usage (978588K) : metal1_mask has 0 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978588K) : metal1_filler has 60876 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978588K) : metal1_nofill has 0 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978588K) : metal1_slit has 0 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978844K) : metal1_text has 85780 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978844K) : metal1_opc has 0 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978844K) : metal1_noqrc has 0 polygons
2025-08-28 21:31:09 +0900: Memory Usage (978844K) : metal1_res has 0 polygons
