# Logfile created on 2025-08-28 21:34:42 +0900 by logger.rb/v1.5.3
2025-08-28 21:34:42 +0900: Memory Usage (501312K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:34:42 +0900: Memory Usage (501312K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : Loading database to memory is complete.
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_topmetal2filler.lyrdb
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : Evaluate switches.
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : table_name selected  topmetal2filler
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : Klayout will use 10 thread(s)
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : flat mode is enabled for topmetal2filler table.
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : FEOL enabled: true
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : BEOL enabled: true
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : OffGrid enabled: true
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : PreCheck DRC enabled: false
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : CONNECTIVITY_RULES enabled: false for table topmetal2filler
2025-08-28 21:34:44 +0900: Memory Usage (547132K) : Read in polygons from layers.
2025-08-28 21:34:51 +0900: Memory Usage (557220K) : activ_drw has 10081 polygons
2025-08-28 21:34:51 +0900: Memory Usage (557220K) : activ_pin has 0 polygons
2025-08-28 21:34:51 +0900: Memory Usage (557220K) : activ_mask has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : activ_filler has 30337 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : activ_nofill has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : activ_opc has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : activ_iopc has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : activ_noqrc has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : biwind_drw has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : biwind_opc has 0 polygons
2025-08-28 21:34:52 +0900: Memory Usage (557220K) : pemwind_drw has 0 polygons
2025-08-28 21:35:01 +0900: Memory Usage (620996K) : gatpoly_drw has 23583 polygons
2025-08-28 21:35:01 +0900: Memory Usage (620996K) : gatpoly_pin has 0 polygons
2025-08-28 21:35:02 +0900: Memory Usage (620996K) : gatpoly_filler has 30337 polygons
2025-08-28 21:35:02 +0900: Memory Usage (620996K) : gatpoly_nofill has 0 polygons
2025-08-28 21:35:02 +0900: Memory Usage (620996K) : gatpoly_opc has 0 polygons
2025-08-28 21:35:02 +0900: Memory Usage (620996K) : gatpoly_iopc has 0 polygons
2025-08-28 21:35:02 +0900: Memory Usage (620996K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:36:31 +0900: Memory Usage (956460K) : cont_drw has 2901899 polygons
2025-08-28 21:36:31 +0900: Memory Usage (956460K) : cont_opc has 0 polygons
2025-08-28 21:36:31 +0900: Memory Usage (956460K) : nsd_drw has 0 polygons
2025-08-28 21:36:31 +0900: Memory Usage (956460K) : nsd_block has 0 polygons
2025-08-28 21:36:42 +0900: Memory Usage (978476K) : metal1_drw has 16153 polygons
2025-08-28 21:36:43 +0900: Memory Usage (978476K) : metal1_pin has 794 polygons
2025-08-28 21:36:43 +0900: Memory Usage (978476K) : metal1_mask has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978476K) : metal1_filler has 60876 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978476K) : metal1_nofill has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978476K) : metal1_slit has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_text has 85780 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_opc has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_noqrc has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_res has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_iprobe has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : metal1_diffprb has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : passiv_drw has 39 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : passiv_pin has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : passiv_sbump has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : passiv_pillar has 0 polygons
2025-08-28 21:36:45 +0900: Memory Usage (978732K) : passiv_pdl has 0 polygons
2025-08-28 21:36:48 +0900: Memory Usage (978732K) : metal2_drw has 9306 polygons
2025-08-28 21:36:48 +0900: Memory Usage (978732K) : metal2_pin has 691 polygons
2025-08-28 21:36:48 +0900: Memory Usage (978732K) : metal2_mask has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_filler has 66402 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_nofill has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_slit has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_text has 1251 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_opc has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_noqrc has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_res has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_iprobe has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : metal2_diffprb has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : baspoly_drw has 0 polygons
2025-08-28 21:36:50 +0900: Memory Usage (978732K) : baspoly_pin has 0 polygons
2025-08-28 21:36:54 +0900: Memory Usage (978732K) : psd_drw has 1631 polygons
2025-08-28 21:36:54 +0900: Memory Usage (978732K) : nldb_drw has 0 polygons
2025-08-28 21:36:54 +0900: Memory Usage (978732K) : digibnd_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : via1_drw has 109916 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_pin has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_mask has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_filler has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_nofill has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_slit has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_text has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_opc has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_noqrc has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_res has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_iprobe has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backmetal1_diffprb has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : backpassiv_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : res_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : sram_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : trans_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : ind_drw has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : ind_pin has 0 polygons
2025-08-28 21:36:58 +0900: Memory Usage (978732K) : ind_text has 0 polygons
